,precision,recall,f1-score,support
0,0.5833333333333334,0.875,0.7000000000000001,8.0
1,0.9714285714285714,0.8717948717948718,0.9189189189189189,39.0
accuracy,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149
macro avg,0.7773809523809524,0.8733974358974359,0.8094594594594595,47.0
weighted avg,0.905369807497467,0.8723404255319149,0.8816561242093157,47.0
