,precision,recall,f1-score,support
0,0.9887640449438202,0.9565217391304348,0.9723756906077348,92.0
1,0.9215686274509803,0.9791666666666666,0.9494949494949494,48.0
accuracy,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
macro avg,0.9551663361974003,0.9678442028985508,0.9609353200513421,140.0
weighted avg,0.9657256160891324,0.9642857142857143,0.9645308650833512,140.0
